LeagueId;Date;Event
7;2026-2-1;Trading Deadline
7;2026-3-17;Award Nominees
7;2026-3-18;DEL Playoffs
7;2026-5-2;HOF Player Nomination
7;2026-5-16;DEL Awards
7;2026-5-27;Winter Olympics
7;2026-6-2;HOF Cast Ballot
7;2026-6-30;Last Day of season
7;2026-7-6;Draft Order Announcement
7;2026-7-7;DEL Entry Draft
7;2026-8-1;HOF Induction
8;2025-7-1;Assign Scouts
8;2025-7-1;Set Monthly Budget
8;2025-7-7;Player Training Programs
8;2025-8-26;Preseason Start
8;2025-9-9;Opening Night
8;2026-2-1;Trading Deadline
8;2026-3-19;Award Nominees
8;2026-3-20;LIIGA Playoffs
8;2026-5-2;HOF Player Nomination
8;2026-5-18;SML Awards
8;2026-5-27;Winter Olympics
8;2026-6-2;HOF Cast Ballot
8;2026-6-30;Last Day of season
8;2026-7-6;Draft Order Announcement
8;2026-7-7;SML Entry Draft
8;2026-8-1;HOF Induction
9;2025-7-1;Assign Scouts
9;2025-7-1;Set Monthly Budget
9;2025-7-7;Player Training Programs
9;2025-8-26;Preseason Start
9;2025-9-9;Opening Night
9;2026-2-1;Trading Deadline
9;2026-3-11;Award Nominees
9;2026-3-12;NL Playoffs
9;2026-5-2;HOF Player Nomination
9;2026-5-10;NL Awards
9;2026-5-27;Winter Olympics
9;2026-6-2;HOF Cast Ballot
9;2026-6-30;Last Day of season
9;2026-7-6;Draft Order Announcement
9;2026-7-7;NL Entry Draft
9;2026-8-1;HOF Induction
10;2025-7-1;Assign Scouts
10;2025-7-1;Set Monthly Budget
10;2025-7-7;Player Training Programs
10;2025-9-25;Preseason Start
10;2025-10-3;Opening Night
10;2025-12-22;All-Star Announcement
10;2025-12-23;All-Star Game
10;2026-2-1;Trading Deadline
10;2026-3-9;Award Nominees
10;2026-3-10;NCAA Playoffs
10;2026-5-2;HOF Player Nomination
10;2026-5-24;NCAA Awards
10;2026-5-27;Winter Olympics
10;2026-6-2;HOF Cast Ballot
10;2026-6-30;Last Day of season
10;2026-7-6;Draft Order Announcement
10;2026-7-7;NCAA Entry Draft
10;2026-8-1;HOF Induction
11;2025-7-1;Assign Scouts
11;2025-7-1;Set Monthly Budget
11;2025-7-7;Player Training Programs
11;2025-9-4;Preseason Start
11;2025-9-18;Opening Night
11;2026-2-1;Trading Deadline
11;2026-2-16;All-Star Announcement
11;2026-2-17;All-Star Game
11;2026-3-24;Award Nominees
11;2026-3-25;OHL Playoffs
11;2026-5-2;HOF Player Nomination
11;2026-5-27;Winter Olympics
11;2026-6-2;HOF Cast Ballot
11;2026-6-8;OHL Awards
11;2026-6-30;Last Day of season
11;2026-7-6;Draft Order Announcement
11;2026-7-7;OHL Entry Draft
11;2026-8-1;HOF Induction
12;2025-7-1;Assign Scouts
12;2025-7-1;Set Monthly Budget
12;2025-7-7;Player Training Programs
12;2025-9-5;Preseason Start
12;2025-9-19;Opening Night
12;2026-2-1;Trading Deadline
12;2026-2-16;All-Star Announcement
12;2026-2-17;All-Star Game
12;2026-3-24;Award Nominees
12;2026-3-25;WHL Playoffs
12;2026-5-2;HOF Player Nomination
12;2026-5-27;Winter Olympics
12;2026-6-2;HOF Cast Ballot
12;2026-6-8;WHL Awards
12;2026-6-30;Last Day of season
12;2026-7-6;Draft Order Announcement
12;2026-7-7;WHL Entry Draft
12;2026-8-1;HOF Induction
13;2025-7-1;Assign Scouts
13;2025-7-1;Set Monthly Budget
13;2025-7-7;Player Training Programs
13;2025-9-4;Preseason Start
13;2025-9-18;Opening Night
13;2026-1-18;All-Star Announcement
13;2026-1-19;All-Star Game
13;2026-2-1;Trading Deadline
13;2026-3-23;Award Nominees
13;2026-3-24;QMJHL Playoffs
13;2026-5-2;HOF Player Nomination
13;2026-5-22;QMJHL Awards
13;2026-5-27;Winter Olympics
13;2026-6-2;HOF Cast Ballot
13;2026-6-30;Last Day of season
13;2026-7-6;Draft Order Announcement
13;2026-7-7;QMJHL Entry Draft
13;2026-8-1;HOF Induction
14;2025-7-1;Assign Scouts
14;2025-7-1;Set Monthly Budget
14;2025-7-7;Player Training Programs
14;2025-10-14;Preseason Start
14;2025-10-17;Opening Night
14;2026-2-1;Trading Deadline
14;2026-2-8;All-Star Announcement
14;2026-2-9;All-Star Game
14;2026-4-14;Award Nominees
14;2026-4-15;ECHL Playoffs
14;2026-5-2;HOF Player Nomination
14;2026-5-27;Winter Olympics
14;2026-6-2;HOF Cast Ballot
14;2026-6-29;ECHL Awards
14;2026-6-30;Last Day of season
14;2026-7-6;Draft Order Announcement
14;2026-7-7;ECHL Entry Draft
14;2026-8-1;HOF Induction
15;2025-7-1;Assign Scouts
15;2025-7-1;Set Monthly Budget
15;2025-7-7;Player Training Programs
15;2025-9-20;Preseason Start
15;2025-10-4;Opening Night
15;2026-1-10;All-Star Announcement
15;2026-1-11;All-Star Game
15;2026-2-1;Trading Deadline
15;2026-4-8;Award Nominees
15;2026-4-9;USHL Playoffs
15;2026-5-2;HOF Player Nomination
15;2026-5-27;Winter Olympics
15;2026-6-2;HOF Cast Ballot
15;2026-6-23;USHL Awards
15;2026-6-30;Last Day of season
15;2026-7-6;Draft Order Announcement
15;2026-7-7;USHL Entry Draft
15;2026-8-1;HOF Induction
16;2025-7-1;Assign Scouts
16;2025-7-1;Set Monthly Budget
16;2025-7-7;Player Training Programs
16;2025-8-26;Preseason Start
16;2025-9-9;Opening Night
16;2026-2-1;Trading Deadline
16;2026-3-8;Award Nominees
16;2026-3-9;TIPS Playoffs
16;2026-5-2;HOF Player Nomination
16;2026-5-7;ELH Awards
16;2026-5-27;Winter Olympics
16;2026-6-2;HOF Cast Ballot
16;2026-6-30;Last Day of season
16;2026-7-6;Draft Order Announcement
16;2026-7-7;ELH Entry Draft
16;2026-8-1;HOF Induction
17;2025-7-1;Assign Scouts
17;2025-7-1;Set Monthly Budget
17;2025-7-7;Player Training Programs
17;2025-8-29;Preseason Start
17;2025-9-6;Opening Night
17;2025-12-19;All-Star Announcement
17;2025-12-20;All-Star Game
17;2026-2-1;Trading Deadline
17;2026-2-17;Award Nominees
17;2026-2-18;UNIV Playoffs
17;2026-5-2;HOF Player Nomination
17;2026-5-4;UIH Awards
17;2026-5-27;Winter Olympics
17;2026-6-2;HOF Cast Ballot
17;2026-6-30;Last Day of season
17;2026-7-6;Draft Order Announcement
17;2026-7-7;UIH Entry Draft
17;2026-8-1;HOF Induction
